country,country_code,indicator_code,indicator_name,year,value
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2017,51.5881643154932
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2016,51.601561458123
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2015,51.6052500004737
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2023,16.7847783333666
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2022,17.0314157651472
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2021,17.2452061536194
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2020,17.439158040113
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2019,17.6087445052606
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2018,17.7811833774633
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2017,17.9310747730834
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2016,18.0831627362917
France,FRA,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2015,18.244961483963
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2023,61.4660792751563
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2022,61.5912351189772
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2021,61.7040398746753
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2020,61.8134010588151
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2019,61.9811666181521
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2018,62.1793955597294
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2017,62.3980765439097
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2016,62.632173096763
France,FRA,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2015,62.9034115542196
France,FRA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2023,21.7491423914771
France,FRA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2022,21.3773491158756
France,FRA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2021,21.0507539717053
France,FRA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2020,20.747440901072
France,FRA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,20.4100888765873
France,FRA,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,20.0394210628073
